group_num;n_bins;distance;method
0;1;0;Bhattacharyya
0;1;0;Chisquare
0;1;1;Correlation
0;1;0;Chisquare Alt
0;1;1;Intersect
0;1;0;KL DIV
0;2;0.0298036;Bhattacharyya
0;2;0.00722538;Chisquare
0;2;0.988717;Correlation
0;2;0.00710136;Chisquare Alt
0;2;0.962017;Intersect
0;2;0.00353631;KL DIV
0;3;0.0560083;Bhattacharyya
0;3;0.032245;Chisquare
0;3;0.995066;Correlation
0;3;0.0246181;Chisquare Alt
0;3;0.947576;Intersect
0;3;0.0117424;KL DIV
0;4;0.0559838;Bhattacharyya
0;4;0.0273284;Chisquare
0;4;0.989464;Correlation
0;4;0.0247924;Chisquare Alt
0;4;0.93945;Intersect
0;4;0.0126886;KL DIV
0;5;0.0620655;Bhattacharyya
0;5;0.0338114;Chisquare
0;5;0.993241;Correlation
0;5;0.0302342;Chisquare Alt
0;5;0.939548;Intersect
0;5;0.0153797;KL DIV
0;6;0.0622654;Bhattacharyya
0;6;0.0379059;Chisquare
0;6;0.991575;Correlation
0;6;0.0305126;Chisquare Alt
0;6;0.947576;Intersect
0;6;0.0147641;KL DIV
0;7;0.0750133;Bhattacharyya
0;7;0.0564964;Chisquare
0;7;0.992484;Correlation
0;7;0.0439285;Chisquare Alt
0;7;0.935454;Intersect
0;7;0.0215086;KL DIV
0;8;0.0900745;Bhattacharyya
0;8;0.0748382;Chisquare
0;8;0.982627;Correlation
0;8;0.0634196;Chisquare Alt
0;8;0.916987;Intersect
0;8;0.0323393;KL DIV
0;9;0.104011;Bhattacharyya
0;9;0.0861635;Chisquare
0;9;0.985611;Correlation
0;9;0.0835516;Chisquare Alt
0;9;0.906825;Intersect
0;9;0.0450588;KL DIV
0;10;0.0864096;Bhattacharyya
0;10;0.0691052;Chisquare
0;10;0.983627;Correlation
0;10;0.0584473;Chisquare Alt
0;10;0.912136;Intersect
0;10;0.0293899;KL DIV
0;11;0.122048;Bhattacharyya
0;11;0.151735;Chisquare
0;11;0.975572;Correlation
0;11;0.115295;Chisquare Alt
0;11;0.88518;Intersect
0;11;0.0572603;KL DIV
0;12;0.0865741;Bhattacharyya
0;12;0.0705208;Chisquare
0;12;0.986435;Correlation
0;12;0.0587246;Chisquare Alt
0;12;0.913798;Intersect
0;12;0.0293984;KL DIV
0;13;0.123992;Bhattacharyya
0;13;0.127034;Chisquare
0;13;0.970606;Correlation
0;13;0.118853;Chisquare Alt
0;13;0.876105;Intersect
0;13;0.0647351;KL DIV
0;14;0.111294;Bhattacharyya
0;14;0.122214;Chisquare
0;14;0.976108;Correlation
0;14;0.0954917;Chisquare Alt
0;14;0.891853;Intersect
0;14;0.0485536;KL DIV
0;15;0.128514;Bhattacharyya
0;15;0.165684;Chisquare
0;15;0.966634;Correlation
0;15;0.126906;Chisquare Alt
0;15;0.874073;Intersect
0;15;0.0664238;KL DIV
0;16;0.119538;Bhattacharyya
0;16;0.125805;Chisquare
0;16;0.974954;Correlation
0;16;0.110888;Chisquare Alt
0;16;0.877215;Intersect
0;16;0.0586639;KL DIV
0;17;0.132083;Bhattacharyya
0;17;0.188128;Chisquare
0;17;0.973963;Correlation
0;17;0.132337;Chisquare Alt
0;17;0.876419;Intersect
0;17;0.0684896;KL DIV
0;18;0.137544;Bhattacharyya
0;18;0.161231;Chisquare
0;18;0.96469;Correlation
0;18;0.143489;Chisquare Alt
0;18;0.874382;Intersect
0;18;0.0805193;KL DIV
0;19;0.139142;Bhattacharyya
0;19;0.194355;Chisquare
0;19;0.962935;Correlation
0;19;0.149151;Chisquare Alt
0;19;0.857988;Intersect
0;19;0.0746818;KL DIV
0;20;0.136347;Bhattacharyya
0;20;0.167317;Chisquare
0;20;0.962879;Correlation
0;20;0.142659;Chisquare Alt
0;20;0.866352;Intersect
0;20;0.0760889;KL DIV
0;21;0.1447;Bhattacharyya
0;21;0.201442;Chisquare
0;21;0.963529;Correlation
0;21;0.158927;Chisquare Alt
0;21;0.858476;Intersect
0;21;0.0863237;KL DIV
0;22;0.152719;Bhattacharyya
0;22;0.216174;Chisquare
0;22;0.954836;Correlation
0;22;0.177235;Chisquare Alt
0;22;0.856212;Intersect
0;22;0.0946489;KL DIV
0;23;0.147232;Bhattacharyya
0;23;0.198785;Chisquare
0;23;0.966147;Correlation
