group_num;n_bins;distance;method
0;1;0;Bhattacharyya
0;1;0;Chisquare
0;1;1;Correlation
0;1;0;Chisquare Alt
0;1;1;Intersect
0;1;0;KL DIV
0;2;0.591894;Bhattacharyya
0;2;2.16339;Chisquare
0;2;-0.014075;Correlation
0;2;1.96044;Chisquare Alt
0;2;0.346968;Intersect
0;2;2.46324;KL DIV
0;3;0.547302;Bhattacharyya
0;3;13.8108;Chisquare
0;3;0.495224;Correlation
0;3;1.48721;Chisquare Alt
0;3;0.491124;Intersect
0;3;6.29913;KL DIV
0;4;0.603984;Bhattacharyya
0;4;3.64568;Chisquare
0;4;0.382224;Correlation
0;4;1.97293;Chisquare Alt
0;4;0.346968;Intersect
0;4;4.81862;KL DIV
0;5;0.632418;Bhattacharyya
0;5;6.31035;Chisquare
0;5;0.277084;Correlation
0;5;1.96526;Chisquare Alt
0;5;0.394644;Intersect
0;5;10.7372;KL DIV
0;6;0.675314;Bhattacharyya
0;6;14.5111;Chisquare
0;6;0.261156;Correlation
0;6;2.18304;Chisquare Alt
0;6;0.346968;Intersect
0;6;11.3676;KL DIV
0;7;0.672605;Bhattacharyya
0;7;6.06114;Chisquare
0;7;0.321777;Correlation
0;7;2.12699;Chisquare Alt
0;7;0.37359;Intersect
0;7;12.7703;KL DIV
0;8;0.682838;Bhattacharyya
0;8;14.5953;Chisquare
0;8;0.263306;Correlation
0;8;2.25331;Chisquare Alt
0;8;0.322356;Intersect
0;8;10.3797;KL DIV
0;9;0.70077;Bhattacharyya
0;9;15.9056;Chisquare
0;9;0.245619;Correlation
0;9;2.2706;Chisquare Alt
0;9;0.354573;Intersect
0;9;12.2397;KL DIV
0;10;0.725174;Bhattacharyya
0;10;73.3265;Chisquare
0;10;0.272426;Correlation
0;10;2.44982;Chisquare Alt
0;10;0.282003;Intersect
0;10;11.963;KL DIV
0;11;0.702268;Bhattacharyya
0;11;10.5181;Chisquare
0;11;0.267253;Correlation
0;11;2.32396;Chisquare Alt
0;11;0.337387;Intersect
0;11;12.5955;KL DIV
0;12;0.722669;Bhattacharyya
0;12;22.8519;Chisquare
0;12;0.260226;Correlation
0;12;2.45283;Chisquare Alt
0;12;0.28764;Intersect
0;12;12.2437;KL DIV
0;13;0.743717;Bhattacharyya
0;13;62.9145;Chisquare
0;13;0.216373;Correlation
0;13;2.51996;Chisquare Alt
0;13;0.293919;Intersect
0;13;12.6947;KL DIV
0;14;0.730474;Bhattacharyya
0;14;16.0803;Chisquare
0;14;0.235429;Correlation
0;14;2.51257;Chisquare Alt
0;14;0.274059;Intersect
0;14;12.7852;KL DIV
0;15;0.738218;Bhattacharyya
0;15;21.6228;Chisquare
0;15;0.202239;Correlation
0;15;2.54677;Chisquare Alt
0;15;0.270477;Intersect
0;15;12.8555;KL DIV
0;16;0.74917;Bhattacharyya
0;16;60.5947;Chisquare
0;16;0.236071;Correlation
0;16;2.57384;Chisquare Alt
0;16;0.266622;Intersect
0;16;12.492;KL DIV
0;17;0.757182;Bhattacharyya
0;17;92.2894;Chisquare
0;17;0.177277;Correlation
0;17;2.63906;Chisquare Alt
0;17;0.247549;Intersect
0;17;13.139;KL DIV
0;18;0.745138;Bhattacharyya
0;18;27.8343;Chisquare
0;18;0.203179;Correlation
0;18;2.58765;Chisquare Alt
0;18;0.262204;Intersect
0;18;12.8133;KL DIV
0;19;0.763052;Bhattacharyya
0;19;115.703;Chisquare
0;19;0.180954;Correlation
0;19;2.66255;Chisquare Alt
0;19;0.244813;Intersect
0;19;13.2406;KL DIV
0;20;0.758775;Bhattacharyya
0;20;133.711;Chisquare
0;20;0.212858;Correlation
0;20;2.62345;Chisquare Alt
0;20;0.256662;Intersect
0;20;12.9849;KL DIV
0;21;0.767016;Bhattacharyya
0;21;74.359;Chisquare
0;21;0.153501;Correlation
0;21;2.71122;Chisquare Alt
0;21;0.230931;Intersect
0;21;13.3578;KL DIV
0;22;0.761087;Bhattacharyya
0;22;147.076;Chisquare
0;22;0.189215;Correlation
0;22;2.64733;Chisquare Alt
0;22;0.252164;Intersect
0;22;12.8018;KL DIV
0;23;0.774015;Bhattacharyya
0;23;191.991;Chisquare
0;23;0.166619;Correlation
0;23;2.72384;Chisquare Alt
0;23;0.228602;Intersect
0;23;13.1447;KL DIV
