group_num;num_product;mean_0;mean_1;stddev_0;stddev_1
0;1;0.523155;0.602028;0.157303;0.241916
0;2;0.513648;0.60759;0.148738;0.248892
1;1;0.525698;0.598066;0.124901;0.262777
1;2;0.523224;0.600421;0.127882;0.264742
2;1;0.517106;0.627266;0.143064;0.22648
2;2;0.522027;0.620666;0.152333;0.236667
3;1;0.555804;0.592132;0.0807157;0.0979235
3;2;0.556883;0.605135;0.0864497;0.101275
4;1;0.555142;0.601934;0.120357;0.216684
4;2;0.544233;0.606182;0.115953;0.202327
5;1;0.537415;0.570613;0.190357;0.11691
5;2;0.537658;0.578696;0.186512;0.107405
6;1;0.491159;0.745141;0.212947;0.114162
6;2;0.496095;0.744018;0.208121;0.113945
7;1;0.571707;0.582329;0.116816;0.214988
7;2;0.572831;0.580028;0.116158;0.217107
8;1;0.493094;0.544656;0.151337;0.341856
8;2;0.490769;0.543685;0.14421;0.333161
9;1;0.612331;0.641225;0.194654;0.146267
9;2;0.609769;0.641758;0.184665;0.141403
10;1;0.590802;0.647926;0.232652;0.147602
10;2;0.594383;0.648198;0.228785;0.152739
11;1;0.557908;0.725655;0.295263;0.134068
11;2;0.560453;0.725617;0.294307;0.130948
12;1;0.553832;0.756811;0.217522;0.12426
12;2;0.547674;0.759615;0.219864;0.124035
13;1;0.516965;0.633045;0.26926;0.121126
13;2;0.514691;0.635079;0.272829;0.120502
14;1;0.554518;0.526293;0.156757;0.322266
14;2;0.555555;0.526467;0.158037;0.3213
15;1;0.419859;0.627575;0.223478;0.0941966
15;2;0.415772;0.631291;0.238056;0.0966627
16;1;0.606247;0.662293;0.264886;0.159853
16;2;0.60202;0.64787;0.245966;0.156239
17;1;0.607238;0.442597;0.143686;0.389775
17;2;0.586259;0.478599;0.108232;0.297215
18;1;0.52168;0.572128;0.192702;0.225677
18;2;0.516445;0.571972;0.192643;0.229847
19;1;0.523673;0.5961;0.118475;0.188476
19;2;0.526725;0.596325;0.121205;0.186235
20;1;0.473025;0.725879;0.201268;0.198884
20;2;0.474004;0.72878;0.19598;0.199718
21;1;0.569734;0.644276;0.158501;0.226226
21;2;0.572921;0.630706;0.162513;0.245682
