group_num;num_product;mean_0;mean_1;stddev_0;stddev_1
0;1;0.623269;0.619468;0.147298;0.111478
0;2;0.658674;0.427527;0.147702;0.262427
1;1;0.474351;0.678255;0.185848;0.165761
1;2;0.496788;0.654561;0.147;0.238406
2;1;0.548854;0.594888;0.201716;0.109388
2;2;0.46865;0.622015;0.0623711;0.164427
3;1;0.561699;0.566669;0.135527;0.125035
3;2;0.536865;0.607959;0.105844;0.128707
4;1;0.52231;0.520479;0.119044;0.208902
4;2;0.52681;0.498581;0.150966;0.245562
5;1;0.519038;0.604585;0.103693;0.183811
5;2;0.541179;0.627857;0.140797;0.17032
6;1;0.523558;0.571072;0.125305;0.15452
6;2;0.505557;0.651415;0.164622;0.18491
7;1;0.505722;0.642749;0.0985311;0.113158
7;2;0.507594;0.522024;0.117673;0.198743
8;1;0.596728;0.660955;0.192685;0.147437
8;2;0.611892;0.641313;0.191589;0.144533
9;1;0.610625;0.640759;0.180939;0.139595
9;2;0.547005;0.600662;0.175885;0.258693
10;1;0.587849;0.563919;0.181921;0.21593
10;2;0.503523;0.609468;0.146221;0.254107
11;1;0.492827;0.60308;0.0764645;0.0955086
11;2;0.530136;0.578944;0.133969;0.0796366
12;1;0.592014;0.649656;0.231911;0.146391
12;2;0.57945;0.654976;0.264164;0.177181
13;1;0.576279;0.705532;0.151026;0.0957003
13;2;0.586396;0.648573;0.135765;0.114106
14;1;0.588762;0.627873;0.128165;0.120311
14;2;0.574305;0.705075;0.151261;0.0982951
15;1;0.499906;0.488158;0.159262;0.271831
15;2;0.425291;0.697043;0.326815;0.0859032
16;1;0.449006;0.641057;0.310329;0.125553
16;2;0.426487;0.698799;0.329042;0.0850438
17;1;0.573256;0.4381;0.148209;0.355982
17;2;0.499721;0.487339;0.158914;0.271922
18;1;0.488958;0.683827;0.261372;0.140726
18;2;0.567005;0.599558;0.194769;0.222216
19;1;0.517887;0.634999;0.104496;0.157257
19;2;0.563318;0.645;0.11988;0.114325
20;1;0.547428;0.558499;0.128746;0.198418
20;2;0.545958;0.521868;0.131901;0.207263
21;1;0.54384;0.461745;0.107095;0.192008
21;2;0.517854;0.468437;0.122352;0.22418
